family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr,min_pf_23_24,stable_score
EXHAUST_LONG|06_0830|SD,EXHAUST_LONG,LONG,318,0.9812409812409808,-0.012264150943396232,174,1.0386343216531893,4.300000000000001,144,0.9151138716356108,-8.199999999999998,P105_R175,1.05,1.75,0.9151138716356108,1.8108214188054221
EXHAUST_LONG|06_0830|SD,EXHAUST_LONG,LONG,318,0.9532019704433491,-0.03584905660377357,174,0.9795918367346931,-2.699999999999994,144,0.921832884097035,-8.699999999999985,P075_R275,0.75,2.75,0.921832884097035,1.8092857142857142
EXHAUST_LONG|06_0830|SD,EXHAUST_LONG,LONG,318,1.0328638497652578,0.023113207547169872,174,1.1598639455782305,18.80000000000001,144,0.892032060348892,-11.449999999999989,P090_R225,0.9,2.25,0.892032060348892,1.8001216829904014
SWEEP_LONG|06_0830|SU,SWEEP_LONG,LONG,115,0.9547920433996386,-0.032608695652173884,52,1.0176870748299323,0.650000000000003,63,0.9047619047619052,-4.399999999999995,P075_R225,0.75,2.25,0.9047619047619052,1.7933488612836443
SWEEP_LONG|06_0830|SD,SWEEP_LONG,LONG,239,0.995495495495495,-0.002928870292887019,129,1.0933828076685221,7.5499999999999945,110,0.8893360160965799,-8.250000000000005,P075_R175,0.75,1.75,0.8893360160965799,1.7883109114940692
PULLBACK_LONG|02_06|UP,PULLBACK_LONG,LONG,144,0.9523809523809523,-0.03437499999999993,70,1.0253292806484304,1.2500000000000042,74,0.8864468864468871,-6.199999999999994,P075_R225,0.75,2.25,0.8864468864468871,1.774415636446887
VWAP_LONG|06_0830|UP,VWAP_LONG,LONG,82,1.146825396825397,0.0902439024390244,44,0.83743842364532,-4.949999999999999,38,1.6190476190476186,12.349999999999994,P075_R175,0.75,1.75,0.83743842364532,1.7690237894989784
SWEEP_LONG|02_06|SU,SWEEP_LONG,LONG,181,0.9515455304928986,-0.032044198895027645,73,1.0670995670995675,3.0999999999999996,108,0.8789115646258506,-8.899999999999995,P075_R175,0.75,1.75,0.8789115646258506,1.7676960950125908
SWEEP_SHORT|06_0830|SU,SWEEP_SHORT,SHORT,308,0.9487870619946087,-0.03701298701298694,141,1.047619047619048,4.700000000000003,167,0.8700564971751411,-16.099999999999987,P075_R225,0.75,2.25,0.8700564971751411,1.7571019517205957
SWEEP_LONG|02_06|SU,SWEEP_LONG,LONG,181,0.8908886389201344,-0.08038674033149165,73,0.9038281979458456,-5.149999999999995,108,0.8822055137844612,-9.39999999999999,P075_R225,0.75,2.25,0.8822055137844612,1.754070154668439
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,1.0699088145896662,0.0485915492957747,27,1.4404761904761905,7.400000000000003,44,0.878648233486943,-3.9499999999999984,P075_R225,0.75,2.25,0.878648233486943,1.750655275740464
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,1.0699088145896662,0.04859154929577473,27,1.4404761904761905,7.400000000000003,44,0.878648233486943,-3.9499999999999975,P090_R225,0.9,2.25,0.878648233486943,1.750655275740464
SWEEP_SHORT|02_06|UP,SWEEP_SHORT,SHORT,104,0.973843058350101,-0.018749999999999892,52,1.1092436974789919,3.900000000000005,52,0.8494208494208497,-5.849999999999995,P075_R225,0.75,2.25,0.8494208494208497,1.7428583494208496
SWEEP_SHORT|06_0830|SU,SWEEP_SHORT,SHORT,308,0.8868150275185445,-0.07678571428571428,141,0.9174603174603173,-7.800000000000002,167,0.8615115771079072,-15.850000000000001,P075_R175,0.75,1.75,0.8615115771079072,1.734636577107907
PULLBACK_SHORT|06_0830|SD,PULLBACK_SHORT,SHORT,458,0.8861003861003857,-0.07729257641921397,229,0.8526984126984124,-23.199999999999996,229,0.9204174820613172,-12.200000000000006,P090_R175,0.9,1.75,0.8526984126984124,1.7256460109516873
SWEEP_LONG|02_06|DN,SWEEP_LONG,LONG,90,0.93734335839599,-0.04166666666666666,47,0.835637480798771,-5.3500000000000005,43,1.0586080586080584,1.5999999999999985,P075_R175,0.75,1.75,0.835637480798771,1.7210541474654377
PULLBACK_LONG|02_06|SU,PULLBACK_LONG,LONG,793,0.9033585929460191,-0.06513240857503153,395,0.8406593406593407,-43.5,398,0.9688276917192576,-8.150000000000002,P075_R175,0.75,1.75,0.8406593406593407,1.7178629976580795
VWAP_SHORT|02_06|SD,VWAP_SHORT,SHORT,164,1.0361904761904759,0.023170731707317045,92,1.2454212454212457,13.399999999999999,72,0.8095238095238095,-9.600000000000001,P075_R175,0.75,1.75,0.8095238095238095,1.7176335656213704
EXHAUST_SHORT|06_0830|SU,EXHAUST_SHORT,SHORT,453,0.867150928167877,-0.09083885209713026,199,0.8404216648491456,-21.950000000000006,254,0.8885017421602783,-19.20000000000001,P090_R175,0.9,1.75,0.8404216648491456,1.7086280666151499
EXHAUST_SHORT|02_06|UP,EXHAUST_SHORT,SHORT,84,0.9392446633825947,-0.044047619047618974,39,0.8231292517006801,-5.1999999999999975,45,1.0476190476190474,1.5000000000000033,P075_R225,0.75,2.25,0.8231292517006801,1.7077125850340134
PULLBACK_SHORT|06_0830|SD,PULLBACK_SHORT,SHORT,458,0.9291441662575677,-0.047270742358078606,229,0.820175438596491,-28.69999999999999,229,1.0483042137718395,7.049999999999992,P075_R175,0.75,1.75,0.820175438596491,1.7036306787711633
SWEEP_LONG|06_0830|SD,SWEEP_LONG,LONG,239,0.8619313647246603,-0.10857740585774053,129,0.8839285714285713,-11.699999999999992,110,0.836488812392427,-14.25,P090_R275,0.9,2.75,0.836488812392427,1.6984867203422178
EXHAUST_SHORT|02_06|UP,EXHAUST_SHORT,SHORT,84,0.9469901168014381,-0.035119047619047654,39,0.8095238095238093,-5.200000000000001,45,1.079365079365079,2.250000000000001,P075_R175,0.75,1.75,0.8095238095238093,1.6972321428571426
VWAP_LONG|06_0830|UP,VWAP_LONG,LONG,82,1.0285714285714291,0.02012195121951226,44,0.7857142857142856,-7.200000000000002,38,1.3664596273291922,8.850000000000001,P075_R225,0.75,2.25,0.7857142857142856,1.6927569686411148
PULLBACK_LONG|02_06|UP,PULLBACK_LONG,LONG,144,0.8611955420466059,-0.09513888888888891,70,0.8994708994708998,-4.75,74,0.826044703595724,-8.950000000000003,P105_R175,1.05,1.75,0.826044703595724,1.692746092484613
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,0.9935064935064939,-0.004225352112676094,27,1.2952380952380946,4.649999999999998,44,0.83743842364532,-4.95,P105_R175,1.05,1.75,0.83743842364532,1.6909595504058834
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,0.9935064935064939,-0.004225352112676045,27,1.2952380952380946,4.649999999999998,44,0.83743842364532,-4.95,P090_R175,0.9,1.75,0.83743842364532,1.6909595504058834
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.8938134810710985,-0.07815533980582519,262,0.9715349827081665,-5.349999999999987,253,0.8173731030873882,-34.89999999999999,P075_R225,0.75,2.25,0.8173731030873882,1.6900187341553492
SWEEP_SHORT|06_0830|SU,SWEEP_SHORT,SHORT,308,0.8868150275185445,-0.07678571428571428,141,0.975108225108225,-2.3000000000000007,167,0.8168168168168166,-21.35,P090_R175,0.9,1.75,0.8168168168168166,1.6899418168168165
EXHAUST_LONG|06_0830|DN,EXHAUST_LONG,LONG,50,0.9859943977591038,-0.009999999999999933,21,1.0476190476190472,0.7000000000000015,29,0.9428571428571427,-1.1999999999999995,P075_R225,0.75,2.25,0.9428571428571427,1.6893571428571428
SWEEP_LONG|06_0830|UP,SWEEP_LONG,LONG,89,0.9089390142021722,-0.0612359550561798,42,0.8095238095238093,-5.6,47,1.004926108374384,0.1499999999999997,P075_R175,0.75,1.75,0.8095238095238093,1.6880912252541465
